School_ID,NAME_OF_SCHOOL,"Elementary, Middle, or High School",Street_Address,City,State,ZIP_Code,Phone_Number,Network_Manager,Collaborative_Name,Adequate_Yearly_Progress_Made_,Track_Schedule,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,HEALTHY_SCHOOL_CERTIFIED,Safety_Icon,SAFETY_SCORE,Environment_Icon,Environment_Score,Instruction_Icon,Instruction_Score,Leaders_Icon,AVERAGE_STUDENT_ATTENDANCE,Rate_of_Misconducts__per_100_students_,Average_Teacher_Attendance,Individualized_Education_Program_Compliance_Rate,X_COORDINATE,Y_COORDINATE,Latitude,Longitude,COMMUNITY_AREA_NUMBER,COMMUNITY_AREA_NAME,Ward,Police_District,Location
610038,Abraham Lincoln Elementary School,ES,615 W Kemper Pl,Chicago,IL,60614,(773) 534-5720,Fullerton Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,Yes,Very Strong,99,Strong,74,Strong,66,Weak,0.96,2,0.96,0.96,1171699.458,1915829.428,41.92449696,-87.64452163,7,LINCOLN PARK,43,18,"(41.92449696, -87.64452163)"
610281,Adam Clayton Powell Paideia Community Academy Elementary School,ES,7511 S South Shore Dr,Chicago,IL,60649,(773) 535-6650,Skyway Elementary Network,SOUTH SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 1,No,Average,54,Strong,74,Very Strong,84,Weak,0.96,15.7,0.95,1.00,1196129.985,1856209.466,41.76032435,-87.55673627,43,SOUTH SHORE,7,4,"(41.76032435, -87.55673627)"
610185,Adlai E Stevenson Elementary School,ES,8010 S Kostner Ave,Chicago,IL,60652,(773) 535-2280,Midway Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Strong,61,Average,50,Weak,36,Weak,0.96,2.3,0.95,0.98,1148427.165,1851012.215,41.74711093,-87.73170248,70,ASHBURN,13,8,"(41.74711093, -87.73170248)"
609993,Agustin Lara Elementary Academy,ES,4619 S Wolcott Ave,Chicago,IL,60609,(773) 535-4389,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 1,No,Average,56,Average,45,Weak,37,Weak,0.96,10.4,0.96,1.00,1164504.29,1873959.199,41.8097569,-87.6721446,61,NEW CITY,20,9,"(41.8097569, -87.6721446)"
610212,Albany Park Multicultural Academy,MS,4929 N Sawyer Ave,Chicago,IL,60625,(773) 534-5108,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Strong,66,Strong,66,Strong,71,Weak,0.97,2.3,0.97,1.00,1153858.196,1932691.891,41.9711433,-87.70962725,14,ALBANY PARK,39,17,"(41.9711433, -87.70962725)"
609720,Albert G Lane Technical High School,HS,2501 W Addison St,Chicago,IL,60618,(773) 534-5400,North-Northwest Side High School Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Standard,Not on Probation,Level 1,No,Very Strong,88,Strong,62,Average,52,Weak,0.96,2.1,0.96,0.99,1158975.392,1923791.705,41.94661693,-87.69105603,5,NORTH CENTER,47,19,"(41.94661693, -87.69105603)"
610342,Albert R Sabin Elementary Magnet School,ES,2216 W Hirsch St,Chicago,IL,60622,(773) 534-4491,Fulton Elementary Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Strong,67,Weak,30,Very Weak,18,Weak,0.95,28.1,0.95,1.00,1161265.299,1909314.592,41.90684338,-87.68304259,24,WEST TOWN,1,14,"(41.90684338, -87.68304259)"
610209,Alessandro Volta Elementary School,ES,4950 N Avers Ave,Chicago,IL,60625,(773) 534-5080,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Track_E,Not on Probation,Level 2,No,Average,43,Weak,28,Weak,37,Weak,0.96,22.5,0.96,1.00,1149774.095,1932831.151,41.97160605,-87.72464139,14,ALBANY PARK,39,17,"(41.97160605, -87.72464139)"
609799,Alexander Graham Bell Elementary School,ES,3730 N Oakley Ave,Chicago,IL,60618,(773) 534-5150,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 1,No,Very Strong,99,Strong,64,Average,46,Weak,0.96,6.3,0.96,0.99,1160327.881,1924862.722,41.94952795,-87.68605496,5,NORTH CENTER,47,19,"(41.94952795, -87.68605496)"
609947,Alexander Graham Elementary School,ES,4436 S Union Ave,Chicago,IL,60609,(773) 535-1308,Pershing Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Average,49,Weak,31,Weak,33,Weak,0.93,27.4,0.95,0.92,1172335.702,1875308.997,41.81329195,-87.64338051,61,NEW CITY,11,9,"(41.81329195, -87.64338051)"
609963,Alexander Hamilton Elementary School,ES,1650 W Cornelia Ave,Chicago,IL,60657,(773) 534-5484,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Standard,Not on Probation,Level 2,No,Strong,73,Strong,60,Average,59,Weak,0.95,12.5,0.97,0.97,1164474.274,1923334.414,41.94524725,-87.67085683,6,LAKE VIEW,32,19,"(41.94524725, -87.67085683)"
610210,Alexander von Humboldt Elementary School,ES,2620 W Hirsch St,Chicago,IL,60622,(773) 534-4480,Fulton Elementary Network,WEST SIDE COLLABORATIVE,No,Standard,Probation,Level 3,No,Weak,31,Weak,32,Average,45,Weak,0.93,185.5,0.96,1.00,1158554.232,1909250.021,41.90672216,-87.69300325,24,WEST TOWN,26,14,"(41.90672216, -87.69300325)"
